semana_inicio,venta_neta_total_eur,Yt_indexed,level_year,inv_paid_search,inv_social_paid,inv_video_online,inv_display,inv_email_crm,inv_radio_local,inv_exterior,inv_prensa,inv_digital,inv_tradicional,logadstock_digital,logadstock_tradicional,fourier_sin1,fourier_cos1,fourier_sin2,fourier_cos2,payday_flag,rebajas_flag,black_friday_flag,navidad_flag,semana_santa_flag,vacaciones_escolares_flag,incidencia_ecommerce_flag,festivo_local_intensidad,temperatura_media_c,lluvia_indice,turismo_indice
2020-01-06,1744807.79,0.9850222962617856,1771338.3713461538,32256.04,26864.09,27065.87,12249.83,7430.35,17578.2,21872.71,12566.69,98435.83,59447.950000000004,-2.1487573810504133,-4.2603204312163765,0.3364999475529548,1.3894425904061656,0.6535229606769487,1.2677425996751712,0,1,0,0,0,0,0,0.0,-1.2195855774104223,1.4022520608213038,-0.4253082044141851
2020-01-13,1743767.43,0.9844349663552984,1771338.3713461538,38551.67,24575.52,21375.62,10468.85,9060.7,14986.02,17893.72,12657.93,94971.66,54598.37000000001,-1.5045590951182475,-2.3776404116359586,0.49892434055527946,1.3384379071179335,0.9330827966625128,1.0733497333369768,0,1,0,0,0,0,0,0.0,-1.2847619088819835,1.2880586704041423,-0.5272145360994251
2020-01-20,1748775.45,0.9872622183817952,1771338.3713461538,34055.66,20363.2,21655.77,12252.29,5438.46,12869.67,17988.05,13077.65,88326.92,49373.83,-1.3739292016785758,-1.7258914972556476,0.6540636950619432,1.268075687677521,1.158339292274132,0.8172078927119167,1,1,0,0,0,0,1,0.0,-1.1994401658646665,1.3735359790947783,-0.6310506308027402
2020-01-27,1771293.4,0.9999746116569926,1771338.3713461538,28396.86,23534.38,23193.28,10693.32,7813.4,13831.8,16907.84,12349.28,85817.84,50902.32,-1.3642404582048058,-1.54837897593851,0.7996557299408368,1.1793819716862888,1.3162013587609065,0.5142031105394111,1,1,0,0,0,0,0,0.0,-1.1342638343931046,1.5383179807778262,-0.6655637001644567
2020-02-03,1771972.59,1.0003580448908609,1771338.3713461538,30090.34,23489.9,23911.76,13393.52,6604.51,13842.48,15698.03,10067.28,90885.52,46212.3,-1.2761688620474847,-1.4248598571316216,0.933577385478715,1.073650113244244,1.397494626623889,0.18194492338175636,1,1,0,0,0,0,0,0.0,-0.8955999587863307,1.400910187843429,-0.5762008280967003
2020-02-10,1768890.32,0.9986179651580104,1771338.3713461538,22108.06,21297.69,16913.66,10903.46,6215.91,14647.41,11828.65,13532.72,71222.87,46224.69,-1.5723456173193349,-1.4756389469910636,1.0538757823725307,0.952421920934882,1.397494626623889,-0.16025703063281527,0,1,0,0,0,0,0,0.0,-0.7052850708893704,1.2704801343939798,-0.5584618526613235
2020-02-17,1749785.11,0.9878322167606104,1771338.3713461538,31612.48,22659.03,21104.96,13646.43,5806.5199999999995,14060.93,17085.61,12387.06,89022.9,49340.119999999995,-1.3887308207287101,-1.50087745801837,1.1587966991071732,0.8174651747841882,1.3162013587609065,-0.4925152177904702,0,0,0,0,0,0,0,0.0,-0.6545660347624088,1.327778110549242,-0.5416135370804427
2020-02-24,1780119.84,1.0049575331263063,1771338.3713461538,24761.45,24940.37,21741.42,8370.62,5380.82,12175.19,16349.19,10730.72,79813.86,44635.92,-1.4714676050242639,-1.4387095309870237,1.2468101524553232,0.6707478480471665,1.1583392922741322,-0.7955199999629758,1,0,0,0,0,0,0,0.0,-0.44837182247055923,1.1527978742343443,-0.4808260020110966
2020-03-02,1767092.71,0.9976031336446874,1771338.3713461538,24753.66,20506.99,15623.48,10189.39,5740.99,16371.96,12739.91,12853.39,71073.52,47706.24999999999,-1.6559612871872098,-1.5206209264078536,1.316632708078128,0.5144094097262893,0.9330827966625128,-1.0516618405880362,1,0,0,0,0,0,0,0.0,-0.29763674313996474,1.2008369268422683,-0.623034692112277
2020-03-09,1760710.07,0.9939998469416792,1771338.3713461538,33435.99,23446.85,22296.03,14336.38,7771.58,12512.33,16136.65,14386.39,93515.25,50806.95,-1.3457511176196197,-1.4876740933728776,1.367246195887904,0.35072962629578025,0.6535229606769494,-1.24605470692623,0,0,0,0,0,0,1,0.0285714285714285,-0.08196233717952374,0.9611784129937969,-0.5213510253906601
